class,text
neg,"simplistic , silly and tedious . "
neg,"it's so laddish and juvenile , only teenage boys could possibly find it funny . "
neg,"exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable . "
neg,"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation . "
neg,"a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification . "
neg,"the story is also as unoriginal as they come , already having been recycled more times than i'd care to count . "
neg,"about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time . "
neg,"not so much farcical as sour . "
neg,"unfortunately the story and the actors are served with a hack script . "
neg,"all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject . "
neg,"a sentimental mess that never rings true . "
neg,"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary . "
neg,"interesting , but not compelling . "
neg,"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire . "
neg,"while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle . "
neg,"there is a difference between movies with the courage to go over the top and movies that don't care about being stupid"
neg,"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah . "
neg,"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us  the skulls  and last year's  rollerball .  enough said , except : film overboard ! "
neg,"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha . "
neg,"this 100-minute movie only has about 25 minutes of decent material . "
neg,"the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl . "
neg,"on its own , it's not very interesting . as a remake , it's a pale imitation . "
neg,"it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action . "
neg,"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films . "
neg,"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma . "
neg,"the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville . "
neg,"our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender  and i know this because i've seen 'jackass : the movie . '"
neg,"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . . "
neg,"the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here . "
neg,"stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's  waking up in reno .  go back to sleep . "
neg,"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates . "
neg,"the action clichés just pile up . "
neg,"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast . "
neg,"the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear . "
neg,"another useless recycling of a brutal mid-'70s american sports movie . "
neg,"i didn't laugh . i didn't smile . i survived . "
neg,"please , someone , stop eric schaeffer before he makes another film . "
neg,"most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved"
neg," . . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee . "
neg,"curling may be a unique sport but men with brooms is distinctly ordinary . "
neg,"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set . "
neg,"there's no getting around the fact that this is revenge of the nerds revisited -- again . "
neg,"the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable . "
neg,"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in . "
neg,"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins . "
neg,"stinks from start to finish , like a wet burlap sack of gloom . "
neg,"to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement . "
neg,"equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 . "
neg,"the lack of naturalness makes everything seem self-consciously poetic and forced . . . it's a pity that [nelson's] achievement doesn't match his ambition . "
pos,"  austin powers in goldmember  has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . "
pos,"one of [jaglom's] better efforts -- a wry and sometime bitter movie about love . "
pos,"schaeffer isn't in this film , which may be why it works as well as it does . "
pos,"a fresh , entertaining comedy that looks at relationships minus traditional gender roles . "
pos,"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's still a guilty pleasure to watch . "
pos,"surprisingly , the film is a hilarious adventure and i shamelessly enjoyed it . "
pos,"the way home is an ode to unconditional love and compassion garnered from years of seeing it all , a condition only the old are privy to , and . . . often misconstrued as weakness . "
pos,"brutally honest and told with humor and poignancy , which makes its message resonate . "
pos,"if you can read the subtitles ( the opera is sung in italian ) and you like 'masterpiece theatre' type costumes , you'll enjoy this movie . "
pos,"a pretty funny movie , with most of the humor coming , as before , from the incongruous but chemically perfect teaming of crystal and de niro . "
pos,"gangster no . 1 is solid , satisfying fare for adults . "
pos,"this chicago has hugely imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare . "
pos,"has enough gun battles and throwaway humor to cover up the yawning chasm where the plot should be . "
pos,"with its jerky hand-held camera and documentary feel , bloody sunday is a sobering recount of a very bleak day in derry . "
pos,"you will likely prefer to keep on watching . "
pos,"insomnia loses points when it surrenders to a formulaic bang-bang , shoot-em-up scene at the conclusion . but the performances of pacino , williams , and swank keep the viewer wide-awake all the way through . "
pos,"what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a surprising , subtle turn at the midway point . "
pos,"at a time when commercialism has squeezed the life out of whatever idealism american moviemaking ever had , godfrey reggio's career shines like a lonely beacon . "
pos,"an inuit masterpiece that will give you goosebumps as its uncanny tale of love , communal discord , and justice unfolds . "
pos,"this is popcorn movie fun with equal doses of action , cheese , ham and cheek ( as well as a serious debt to the road warrior ) , but it feels like unrealized potential"
pos,"it's a testament to de niro and director michael caton-jones that by movie's end , we accept the characters and the film , flaws and all . "
pos,"performances are potent , and the women's stories are ably intercut and involving . "
pos,"an enormously entertaining movie , like nothing we've ever seen before , and yet completely familiar . "
pos,"lan yu is a genuine love story , full of traditional layers of awakening and ripening and separation and recovery . "
pos,"your children will be occupied for 72 minutes . "
pos,"pull[s] off the rare trick of recreating not only the look of a certain era , but also the feel . "
pos,"twohy's a good yarn-spinner , and ultimately the story compels . "
pos,"'tobey maguire is a poster boy for the geek generation . '"
pos," . . . a sweetly affecting story about four sisters who are coping , in one way or another , with life's endgame . "
pos,"passion , melodrama , sorrow , laugther , and tears cascade over the screen effortlessly . . . "
pos,"road to perdition does display greatness , and it's worth seeing . but it also comes with the laziness and arrogance of a thing that already knows it's won . "
pos,"a marvelous performance by allison lohman as an identity-seeking foster child . "
pos,"arliss howard's ambitious , moving , and adventurous directorial debut , big bad love , meets so many of the challenges it poses for itself that one can forgive the film its flaws . "
pos,"critics need a good laugh , too , and this too-extreme-for-tv rendition of the notorious mtv show delivers the outrageous , sickening , sidesplitting goods in steaming , visceral heaps . "
pos,"what a dumb , fun , curiously adolescent movie this is . "
pos,"many insightful moments . "
pos,"the charms of the lead performances allow us to forget most of the film's problems . "
pos,"a vivid , sometimes surreal , glimpse into the mysteries of human behavior . "
pos,"a tour de force of modern cinema . "
pos,"peralta captures , in luminous interviews and amazingly evocative film from three decades ago , the essence of the dogtown experience . "
pos,"the lively appeal of the last kiss lies in the ease with which it integrates thoughtfulness and pasta-fagioli comedy . "
pos,"without resorting to camp or parody , haynes ( like sirk , but differently ) has transformed the rhetoric of hollywood melodrama into something provocative , rich , and strange . "
pos,"the performances are an absolute joy . "
pos,"a quasi-documentary by french filmmaker karim dridi that celebrates the hardy spirit of cuban music . "
pos,"grant carries the day with impeccable comic timing , raffish charm and piercing intellect . "
pos,"a sensitive and astute first feature by anne-sophie birot . "
pos,"both exuberantly romantic and serenely melancholy , what time is it there ? may prove to be [tsai's] masterpiece . "
pos,"mazel tov to a film about a family's joyous life acting on the yiddish stage . "
pos,"standing in the shadows of motown is the best kind of documentary , one that makes a depleted yesterday feel very much like a brand-new tomorrow . "
pos,"it's nice to see piscopo again after all these years , and chaykin and headly are priceless . "
pos,"provides a porthole into that noble , trembling incoherence that defines us all . "
